[DEBUG] Started grid active
Loop 0
[DEBUG] Particle 0 created at: 3, 4
[DEBUG] Particle 0 is stuck
[DEBUG] Particle 0 is not stuck anymore
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 3
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 2
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 0
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 3
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 2
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 0
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 3
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 3
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 1
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 1
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 3
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 2
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 0
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 0
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 2
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 1
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 0
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 2
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 2
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 0
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 0
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 3
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 3
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 3
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 2
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 3
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 0
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 0
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 3
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 1
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 3
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 1
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 0
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 2
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 1
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 0
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 3
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 0
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 2
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 0
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 1
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 3
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 0
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 1
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 1
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 0
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 3
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 3
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 1
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 0
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 0
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 3
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 0
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 3
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 2
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 3
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 0
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 1
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 2
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 3
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 0
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 1
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 0
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 3
[DEBUG] Particle 0 is entering movement loop
[DEBUG] Particle 0's move direction is 0
[DEBUG] Particle 0 is entering movement loop
